Sector	Hex	Name	UWP	TC	Remarks	Sophonts 	Details	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	Allegiance	Stars	SS	W	RU
Akti	0101	Aiaeye	B658267-B	Lo 			O:	{ 1 }	(A11+1)	[235B]		R		815	AsSF	K8 V M7 V M0 V	A	14	10
Akti	0102	Esiyei	D896495-7	Ni 	Pa 			{ -3 }	(631-5)	[2135]				919	AsMw	M0 V M8 V M4 V	A	18	9
Akti	0103	Awir	C697849-8		Pa Ph Pi 			{ -1 }	(E77+1)	[9769]		R		113	AsVc	G6 V	A	14	686
Akti	0105	Kteieikte	E74A577-9	Ni Wa 				{ -2 }	(A42-2)	[5359]				703	AsSc	F8 V	A	13	64
Akti	0106	Ohfe	D435499-9	Ni 				{ -2 }	(931-1)	[526A]		R		103	AsVc	M1 V	A	10	24
Akti	0109	Aui	D422314-9	He Lo Po 				{ -2 }	(D21-4)	[1137]				417	AsMw	K5 V M8 V M7 V	A	21	16
Akti	0110	Aoiwah	E8B357B-8	Fl Ni 	Da 			{ -3 }	(941-1)	[727A]			A	702	AsSc	M2 V	A	7	32
Akti	0119	Aoea	C657589-9	Ag Ni Ga 				{ 0 }	(B44+1)	[656A]		R		604	AsWc	F9 V	E	16	176
Akti	0120	Syaliyl	B430168-D	De Lo Po 			O:	{ 1 }	(511+1)	[125D]				502	AsSF	M1 V	E	5	5
Akti	0121	Oktalih	C100677-8	Na Ni Va 				{ -2 }	(852-2)	[6458]		R		100	AsSc	M1 V	I	5	64
Akti	0122	Alausoh	C554596-8	Ag Ni 				{ -1 }	(A43-2)	[4447]		R		812	AsWc	F0 V M1 V	I	8	96
Akti	0123	Eikheiw	E6927C9-6	He 	Pi 			{ -2 }	(965-1)	[8567]				804	AsMw	F4 V	I	14	243
Akti	0124	Eiliyye	E547785-6	Ag 	Pi 			{ -1 }	(966-3)	[5634]				413	AsVc	F3 V	I	13	227
Akti	0125	Hkaeaorl	D554369-7	Lo 			O:	{ -3 }	(521-2)	[4168]				125	AsSF	F5 V	I	15	8
Akti	0126	Hroyoooasou	B20379A-B	Ic Na Va 	Pi 			{ 2 }	(96C+4)	[997D]				400	AsVc	M1 V	I	9	2,592
Akti	0128	Ewela	E621838-7	He Na Po 	Ph Pi 			{ -2 }	(A76-2)	[8657]				802	AsTv	F2 V	I	7	336
Akti	0130	Yesi'	E540000-0	Ba De He Po 				{ -3 }	(200-5)	[0000]				014	AsXX	F3 V M5 V	I	14	0
Akti	0135	Aeaw	C433746-A	Na Po 				{ 1 }	(G6A+1)	[6849]				216	AsVc	M1 V M0 V	M	13	960
Akti	0138	Hyeweahye	D747359-7	Lo 				{ -3 }	(521-2)	[4168]				603	AsWc	G0 V	M	9	8
Akti	0201	Ktaai	C899523-A	Ni 				{ 0 }	(B44-3)	[2527]		R		613	AsMw	F1 V	A	11	123
Akti	0205	Olei	C311686-9	Ic Na Ni 				{ -1 }	(853-2)	[5548]		R		300	AsTv	M1 V	A	7	96
Akti	0209	Aua	E542000-0	Ba He Po 				{ -3 }	(200-5)	[0000]				010	AsXX	K9 V	A	8	0
Akti	0211	Hlyahelyae	C9965A9-8	Ag Ni 				{ -1 }	(843+1)	[6469]				501	AsWc	G4 V	E	7	96
Akti	0215	Eau	E74759A-7	Ag Ni 				{ -2 }	(742+1)	[7379]				713	AsWc	F9 V M7 V	E	13	56
Akti	0216	Khtesiyh	C76A689-A	Ni Ri Wa 				{ 1 }	(A55+2)	[776B]				520	AsMw	K1 V M4 V	E	7	500
Akti	0217	Ryoakhaiou	D550212-7	De Lo Po 				{ -3 }	(411-5)	[1113]				501	AsSF	F1 V	E	8	2
Akti	0218	Ftyuaokhiys	E5538A8-6	Po 	Ph 			{ -2 }	(A75-2)	[8656]				623	AsWc	F0 V	E	12	280
Akti	0219	Yuakhte	A596547-D	Ag Ni 				{ 2 }	(946+2)	[575D]		R		502	AsMw	F2 V M5 V	E	11	432
Akti	0222	U'oah	B76748A-B	Ni Ga 	Pa 			{ 1 }	(734+3)	[657D]				201	AsVc	F6 V M4 V	I	8	252
Akti	0223	Eryoeaaeas	B5A0521-C	He Ni 				{ 1 }	(A45-3)	[1618]		R		903	AsMw	F5 V M4 V	I	14	140
Akti	0225	Yuruh	E586587-7	Ag Ni 	Pr 			{ -2 }	(742-2)	[5357]				403	AsWc	M2 V M5 V	I	8	45
Akti	0226	Aofteisiy	C551776-8	Po 				{ -1 }	(E67-2)	[6647]				905	AsSc	F4 V M0 V	I	15	470
Akti	0228	Aikhtyawea'	E000000-0	As Ba Va 				{ -3 }	(200-5)	[0000]				011	AsXX	M1 V	I	6	0
Akti	0231	Yakarlea	B645475-B	Ni 	Pa 			{ 1 }	(934-1)	[2539]				803	AsSc	K5 V	M	11	97
Akti	0238	Taheir	A540275-B	De He Lo Po 				{ 1 }	(711-1)	[1339]		R		603	AsWc	F8 V M4 V	M	11	6
